time,x,y,z,H,W
51.0,-0.4111881233644336,0.05805773186807914,0.9096997455063782,4,10
51.25,-0.4644072236324717,0.045870046199974604,0.8844330780220693,4,10
51.5,-0.40874180156206424,0.024165711161071753,0.9123300707857206,4,10
51.75,-0.40531893821316173,0.018925608094453972,0.9139794197267301,4,10
52.0,-0.42358503963309135,0.03166847014067097,0.905302613603861,4,10
52.25,-0.4357047538448303,0.04643606687914019,0.8988910162916369,4,10
52.5,-0.403415774430746,0.0628794818274193,0.9128537033421931,4,10
52.75,-0.3004219746815191,0.07307561546307222,0.9510029398236105,4,11
53.0,-0.19125379600862516,0.052563275148713486,0.9801321786462946,4,11
53.25,-0.11000941217421226,0.02246919038297847,0.9936765392805739,4,11
53.5,-0.04042597001737226,-0.0005857387605128113,0.9991823646653595,4,11
53.75,0.08189280444188782,-0.006708851261786259,0.9966185628892279,4,12
54.0,0.03718662743942338,0.0033566265902767716,0.9993027007857104,4,12
54.25,-0.12578982657339854,0.08083901247910975,0.9887577931890279,4,11
54.5,-0.25959885272118444,0.16931369428982604,0.9507582808431259,5,11
54.75,-0.3754833924882131,0.25491338666101604,0.8910843884091749,5,10
55.0,-0.5151277143488915,0.3560653434815104,0.7796543523133062,6,10
55.25,-0.6505898820235952,0.4943571285742852,0.5764927014597081,6,9
55.5,-0.7468190787235489,0.5928540838666554,0.30130598881724563,7,8
55.75,-0.7859799968591927,0.6151040817490094,0.06230901341644805,7,8
56.0,-0.7845578479916291,0.6097256920280967,-0.11271008666309523,7,7
56.25,-0.7224567070327431,0.601284429741613,-0.3413405059668546,7,6
56.5,-0.5850177431724533,0.6406320149024651,-0.4973377742092564,7,6
56.75,-0.43952868141395574,0.6450760647718058,-0.6250531248406255,7,5
57.0,-0.38251156278906967,0.6075851896297406,-0.696078401960049,7,5
57.25,-0.368042484673314,0.5773835121863405,-0.7288161697786757,7,5
57.5,-0.3504263940728426,0.5697775717516922,-0.7433403399963233,7,5
57.75,-0.3579545511327239,0.5693150690407449,-0.740100595518273,7,5
58.0,-0.35646268295657424,0.565082659085502,-0.7440537239072588,7,5
58.25,-0.3816641414798462,0.538331135053129,-0.7513534934642028,6,5
58.5,-0.47999640429686513,0.42628059468934615,-0.7667387471970994,6,5
58.75,-0.5569106382382746,0.2550452125876966,-0.7904444829038494,5,5
59.0,-0.7295260053651468,0.05715691205098389,-0.6815606318595343,4,6
59.25,-0.8829121140712705,-0.017827636837914933,-0.46919971674221544,4,6
59.5,-0.9418293969190495,0.010963652629535418,-0.3359124669018976,4,7
59.75,-0.9720703916146164,0.06130011451889562,-0.22654237949261632,4,7
60.0,-0.9696795039210214,0.21380547692166063,-0.11835910490445357,5,7
60.25,-0.9919709328963665,0.07484459063362205,-0.10194094143962991,4,7
60.5,-0.9938375888078369,-0.0561588603790268,-0.09556688481662293,4,7
60.75,-0.9981912480388532,-0.05021934864943189,-0.033049196054722355,4,7
61.0,-0.9988550950271128,-0.04613817053184587,0.012639950884076757,4,8
61.25,-0.9983352746796778,-0.020360640494318433,0.053964095924172395,4,8
61.5,-0.9985588297697731,0.013547000164133287,0.051930167295844,4,8
61.75,-0.9997397866250325,0.022378350247202715,0.004423627374446973,4,8
62.0,-0.9943267011388639,0.038211689718196794,-0.09926871698166084,4,7
62.25,-0.9664989446517349,0.054624025928556405,-0.2507907609511139,4,7
62.5,-0.9315963455581874,0.08203873484073385,-0.35411565191101374,4,7
62.75,-0.8982418476441196,0.31306525782603173,-0.30846673642906464,5,7
63.0,-0.8141949273268746,0.5287208550226382,-0.23987679708407778,6,7
63.25,-0.833023782876609,0.5236013470195643,-0.17864211866534258,6,7
63.5,-0.8049494119223467,0.5633685919935041,0.18620492421287985,7,8
63.75,-0.6498579261215832,0.5269139952775443,0.5477648377156119,6,9
64.0,-0.5092410263586656,0.34663094869206235,0.7877312755515127,6,10
64.25,-0.3053617014471257,0.1885281458840181,0.9333870416385968,5,11
64.5,-0.17749477703695557,0.08956307040254301,0.9800377852637471,4,11
64.75,-0.17642968416229016,0.02516536280765086,0.9839914994862272,4,11
65.0,-0.20406873869100575,-0.0002739150863232398,0.9789565234777216,4,11
