time,H,W
182.25,5,9
182.5,5,9
182.75,6,10
183.0,6,10
183.25,6,10
183.5,6,10
183.75,6,10
184.0,6,10
184.25,6,10
184.5,6,10
184.75,6,10
185.0,6,10
185.25,6,10
185.5,6,10
185.75,6,10
186.0,6,10
186.25,6,10
186.5,6,10
186.75,5,9
187.0,4,9
187.25,4,9
187.5,4,8
187.75,4,8
188.0,4,9
188.25,4,9
188.5,4,9
188.75,4,9
189.0,4,9
189.25,4,9
189.5,4,9
189.75,4,9
190.0,4,9
190.25,4,9
190.5,4,9
190.75,4,9
191.0,4,8
191.25,4,9
191.5,4,9
191.75,4,9
192.0,4,8
192.25,4,9
192.5,4,9
192.75,4,8
193.0,4,9
193.25,4,9
193.5,4,9
193.75,4,9
194.0,4,9
194.25,3,10
194.5,3,10
194.75,3,10
195.0,3,11
195.25,3,10
195.5,4,9
195.75,4,9
196.0,4,9
196.25,4,9
196.5,4,9
196.75,4,8
197.0,4,8
197.25,4,8
197.5,4,8
197.75,4,8
198.0,4,8
198.25,4,8
198.5,4,9
198.75,4,8
199.0,4,8
199.25,4,8
199.5,4,8
199.75,4,9
200.0,4,9
200.25,4,9
200.5,4,9
200.75,4,9
201.0,4,9
201.25,4,9
201.5,4,9
